StationId,StationName,cloud_cover,cloud_height,humidity,humidity_past1h,leav_hum_dur_past10min,leav_hum_dur_past1h,precip_dur_past10min,precip_dur_past1h,precip_past10min,precip_past1h,precip_past1min,precip_past24h,pressure,pressure_at_sea,radia_glob,radia_glob_past1h,snow_cover_man,snow_depth_man,sun_last10min_glob,sun_last1h_glob,temp_dew,temp_dry,temp_grass,temp_grass_max_past1h,temp_grass_mean_past1h,temp_grass_min_past1h,temp_max_past12h,temp_max_past1h,temp_mean_past1h,temp_min_past12h,temp_min_past1h,temp_soil,temp_soil_max_past1h,temp_soil_mean_past1h,temp_soil_min_past1h,visib_mean_last10min,visibility,weather,wind_dir,wind_dir_past1h,wind_gust_always_past1h,wind_max,wind_max_per10min_past1h,wind_min,wind_min_past1h,wind_speed,wind_speed_past1h
06110,Flyvestation Skrydstrup,1953,1953,1953,2003,-,-,2003,2003,2003,2003,-,-,1993,1953,-,-,-,-,-,-,1953,1953,2003,2003,2003,2003,1953,2003,2003,1953,2003,-,-,-,-,2002,1953,1953,1953,2003,2003,2003,2003,2003,2003,1953,2003
06111,Bågø Fyr,1961,1961,1961,-,-,-,-,-,-,-,-,-,-,1975,-,-,-,-,-,-,1961,1961,-,-,-,-,1961,-,-,1961,-,-,-,-,-,-,1961,1961,1961,-,-,-,-,-,-,1961,-
06116,Store Jyndevad,-,-,1987,2001,2001,1988,2001,1988,2001,1987,2013,-,2001,2001,2001,1986,-,-,2002,2002,2001,1986,1989,1989,1989,1989,2001,1986,1986,2001,1986,1988,1989,1989,1989,-,-,2003,1986,1986,2003,2003,1986,2001,2001,1986,1986
06118,Sønderborg Lufthavn,2007,2007,2003,2003,-,-,-,-,-,-,-,-,2003,2003,-,-,-,-,-,-,2003,2003,-,-,-,-,2003,2003,2003,2003,2003,-,-,-,-,2003,2003,2005,2003,2003,2003,2003,2003,2003,2003,2003,2003
06119,Kegnæs Fyr,1961,1961,1961,2002,2002,2002,2002,2002,2002,2002,2014,-,1993,1961,2002,2002,-,-,2002,2002,1961,1961,2002,2002,2002,2002,1961,2002,2002,1961,2002,2002,2002,2002,2002,2002,1961,1961,1961,2002,2003,2003,2002,2002,2002,1961,2002
06120,H. C. Andersen Airport,1959,1959,1959,2003,-,-,2003,2003,2003,2003,-,-,1993,1959,-,-,-,-,-,-,1959,1959,2003,2003,2003,2003,1959,2003,2003,1959,2003,-,-,-,-,1999,1959,1959,1959,2003,2003,2003,2003,2003,2003,1959,2003
06123,Assens/Torø,-,-,2001,2001,2001,2001,2001,2001,2001,2001,-,-,2001,2001,2001,2001,-,-,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2003,2003,2001,2001,2001,2001,2001
06124,Elvira Madigan Airport,1981,1981,1981,2003,2024,2024,-,-,-,-,-,-,1994,1981,2024,-,-,-,-,-,1981,1981,-,-,-,-,1996,2003,2003,1981,2003,-,-,-,-,1999,1981,1981,1981,2003,2003,2003,2003,2003,2003,1981,2003
06126,Årslev,-,-,1986,2001,2001,1988,2001,1988,2001,1988,2024,-,2001,2001,2001,1986,-,-,2001,2001,2001,1986,1986,1989,1989,1989,2001,1986,1986,2001,1986,1986,1989,1989,1989,-,-,2007,1986,1986,2003,2003,1986,2001,2001,1986,1986
06132,Tranebjerg Øst,-,-,2000,2003,2024,2024,2024,-,2024,2024,2024,-,2024,2024,2003,2003,-,-,2003,2003,2003,2000,-,-,-,-,2003,2000,2000,2003,2000,-,-,-,-,-,-,-,2024,2024,2024,2024,2024,2024,2024,2024,2024
06134,Tranebjerg Syd,-,-,2025,2025,-,-,2025,2025,2025,2025,2025,-,2025,2025,2025,2025,-,-,2025,2025,2025,2025,-,-,-,-,2025,2025,2025,2025,2025,-,-,-,-,-,-,-,2025,2025,2025,2025,2025,2025,2025,2025,2025
06135,Flakkebjerg,2005,2005,1987,2001,2001,1988,2001,1988,2001,1987,2025,-,2001,2001,2001,1987,-,-,2001,2001,2001,1987,1989,1989,1989,1989,2001,1987,1987,2001,1987,1988,1989,1989,1989,2005,2005,2001,1987,1987,2003,2003,1987,2001,2001,1987,1987
06136,Tystofte,2025,2025,1987,2002,2002,1987,2002,1987,2002,1987,2015,-,2025,2025,2002,1987,-,-,2002,2002,2002,1987,1987,1988,1988,1988,2002,1987,1987,2002,1987,1987,1988,1988,1988,-,-,-,1987,1987,2003,2003,1987,2002,2002,1987,1987
06138,Langø,2026,-,2000,2000,2024,2024,2019,2019,2019,2019,2019,-,2000,2000,2026,-,-,-,-,2026,2000,2000,-,-,-,-,2000,2000,2000,2000,2000,-,-,-,-,-,-,2023,2000,2000,2003,2003,2000,2000,2000,2000,2000
06141,Abed,1999,1999,1987,1999,1999,1990,1999,1988,1999,1987,2024,-,1999,1999,1999,1986,-,-,1999,2000,1999,1986,1999,1999,1999,1999,1999,1986,1986,1999,1986,1999,1999,1999,1999,1999,1999,1999,1986,1986,2003,2003,1986,1999,1999,1986,1986
06147,Vindebæk Kyst,1961,1961,1973,2006,2024,2024,2006,2006,2006,2006,2024,-,2006,1968,-,-,-,-,-,-,1968,1961,-,-,-,-,1983,2006,2006,1985,2006,-,-,-,-,2006,1961,1961,1961,2006,2006,2006,2006,2006,2006,1961,2006
06149,Gedser,1959,1959,1959,2003,2024,2024,2003,2003,2003,2003,2024,-,1993,1959,2003,2003,-,-,2003,2003,1959,1959,-,-,-,-,1959,2003,2003,1959,2003,-,-,-,-,-,1959,1959,1959,2003,2003,2003,2003,2003,2003,1959,2003
06151,Omø Fyr,1961,1961,1967,2000,2024,2024,-,-,-,-,-,-,1993,1974,-,-,-,-,-,-,1967,1961,-,-,-,-,1961,2000,2000,1961,2000,-,-,-,-,-,1961,1961,1961,2000,2003,2003,2000,2000,2000,1961,2000
06154,Brandelev,2004,2004,2004,2004,2024,2024,2004,2004,2004,2004,2024,-,2004,2004,2024,-,-,-,2024,-,2004,2004,-,-,-,-,2004,2004,2004,2004,2004,-,-,-,-,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004
06156,Holbæk Flyveplads,1967,1967,1967,1999,1999,1999,1999,1999,1999,1999,2024,-,1999,1970,1999,1999,-,-,1999,1999,1967,1967,2000,2000,2000,2000,1967,1999,1999,1967,1999,1999,1999,2000,1999,1999,1967,1967,1967,1999,2003,2003,1999,1999,1999,1967,1999
06159,Røsnæs Fyr,1959,1959,1959,2001,-,-,2001,2001,2001,2001,2016,-,1993,1959,-,-,-,-,-,-,1959,1959,-,-,-,-,1959,2001,2001,1959,2001,-,-,-,-,2001,1959,1959,1959,2001,2003,2003,2001,2001,2001,1959,2001
06168,Nakkehoved Fyr,1982,1982,1982,1999,-,-,-,-,-,-,-,-,1998,1982,-,-,-,-,-,-,1982,1982,-,-,-,-,1986,1999,1999,1983,1999,-,-,-,-,-,1982,1982,1982,1999,2003,2003,1999,1999,1999,1982,1999
06169,Gniben,1961,1961,1961,2002,2024,2024,2002,2002,2002,2002,2024,-,1993,1961,-,-,-,-,-,-,1961,1961,-,-,-,-,1961,2002,2002,1961,2002,-,-,-,-,2002,1961,1961,1961,2002,2003,2003,2002,2002,2002,1961,2002
06170,Roskilde Lufthavn,1973,1973,1973,2003,-,-,2003,2003,2003,2003,2016,-,1993,1973,-,-,-,-,-,-,1973,1973,2003,2003,2003,2003,1973,2003,2003,1973,2003,-,-,-,-,2003,1973,1973,1973,2003,2003,2003,2003,2003,2003,1973,2003
06174,Tessebølle,-,2025,2002,2002,2003,2003,2002,2002,2002,2002,2024,-,2002,2002,2002,2002,-,-,2002,2002,2002,2002,2003,2003,2003,2003,2002,2002,2002,2002,2002,2003,2003,2003,2003,2002,2002,2002,2002,2002,2003,2003,2002,2002,2002,2002,2002
06180,Københavns Lufthavn,1953,1953,1953,2003,-,-,2003,2003,2003,2003,2012,-,1993,1953,-,-,-,-,-,-,1953,1953,2003,2003,2003,2003,1953,2003,2003,1953,2003,-,-,-,-,2003,1953,1953,1953,2003,2003,2003,2003,2003,2003,1953,2003
06181,Jægersborg,1994,1994,1994,2001,-,-,-,-,-,-,-,-,1994,1994,-,-,-,-,-,-,1994,1994,-,-,-,-,1994,2001,2001,1994,2001,-,-,-,-,1999,1994,1994,1994,2001,2003,2003,2001,2001,2001,1994,2001
06183,Drogden Fyr,1961,1961,1966,2003,2023,2023,-,-,-,-,-,-,2003,1971,-,-,-,-,2024,-,1966,1962,-,-,-,-,1982,2003,2003,1971,2003,-,-,-,-,2003,1961,1961,1961,2003,2003,2003,2003,2003,2003,1961,2003
06186,Landbohøjskolen,1997,-,1995,2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1995,1995,-,-,-,-,1995,2003,2003,1995,2003,-,-,-,-,-,-,-,1997,2023,2023,2023,2023,2023,2023,1997,2023
06187,Københavns Toldbod,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2004,2004,-,-,2004,2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,2024,2024,2024,2024,2024,2024,2024,2024
06188,Sjælsmark,2007,2007,1989,2003,2003,1996,2003,1988,2003,1987,2024,-,2003,2003,2003,1986,-,-,2003,2003,2003,1986,2003,2003,2003,2003,2003,1986,1986,2003,1986,2003,2003,2003,2003,2007,2007,2003,1986,1986,2003,2003,1986,2003,2003,1986,1986
06190,Bornholms Lufthavn,1959,1959,1959,2003,-,-,2003,2003,2003,2003,-,-,1993,1959,-,-,-,-,-,-,1959,1959,2003,2003,2003,2003,1959,2003,2003,1959,2003,-,-,-,-,1999,1959,1959,1959,2003,2003,2003,2003,2003,2003,1959,2003
06191,Christiansø Fyr,1961,1961,1961,-,-,-,-,-,-,-,-,-,1993,1961,-,-,-,-,-,-,1961,1961,-,-,-,-,1961,-,-,1961,-,-,-,-,-,-,1961,1961,1961,-,-,-,-,-,-,1961,-
06193,Hammer Odde Fyr,1977,1977,1977,2001,-,-,2001,2001,2001,2001,2015,-,1993,1977,2009,2009,-,-,2009,2009,1977,1977,-,-,-,-,1977,2001,2001,1977,2001,-,-,-,-,2001,1977,1977,1977,2001,2003,2003,2001,2001,2001,1977,2001
06197,Nexø Vest,-,-,2002,2002,2002,2002,2002,2002,2002,2002,2015,-,2002,2002,2002,2002,-,-,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,-,-,2003,2002,2002,2003,2003,2002,2002,2002,2002,2002
